firm_name,website,stage_focus,investment_focus,avg_check_size,location,geographies,can_lead,source_link,portfolio_examples
ARCH Venture Partners,http://www.archventure.com,"Seed, Series A","Biotech, Health, AI, Deeptech / Hardware, Medtech",$500K - $5M,"Chicago, Illinois",USA,No,https://www.vcsheet.com/fund/arch-venture-partners,"insitro, Aera Therapeutics, Rippl"
New Enterprise Associates (NEA),http://www.nea.com/,"Seed, Series A, Series B+","Enterprise, Biotech, Fintech, Health, Consumer",$50K - $50M,"Menlo Park, California",USA,Yes,https://www.vcsheet.com/fund/new-enterprise-associates-nea,"Divvy from BILL, VAST Data, Greenlight, DataRobot, Wispr AI"
Alumni Ventures,http://www.av.vc,,"Generalist, AI, Deeptech / Hardware, Health, Web3 / Crypto",,United States,USA,No,https://www.vcsheet.com/fund/alumni-ventures,"Gatik, Enable, Unlearn.AI, Deliverr Inc., Turing"
Khosla Ventures,http://www.khoslaventures.com,"Seed, Series A, Series B+","AI, Health, Climate, Enterprise, Biotech",$500K - $50M,"Menlo Park, California",USA,Yes,https://www.vcsheet.com/fund/khosla-ventures,"TriNet Zenefits, Cellular Longevity, Block, Kaggle, Loyal"
Rock Health Capital,https://rockhealthcapital.com/,"Pre-Seed, Seed, Series A","Health, SaaS, Enterprise, AI, Data",$500K  - $3M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/rock-health-capital,
F-Prime Capital (fka Fidelity Biosciences),http://www.fprimecapital.com,"Seed, Series A, Series B+","Biotech, Medtech, Health, Web3 / Crypto, Fintech",$100K - $10M,"Cambridge, Massachusetts","USA, Europe, Asia-Pacific",Yes,https://www.vcsheet.com/fund/f-prime-capital-fka-fidelity-biosciences,SnapDocs
OrbiMed Advisors,https://www.orbimed.com/,Series A,"Biotech, Medtech, Health, AI",$1M - $75M,"New York, New York",USA,No,https://www.vcsheet.com/fund/orbimed-advisors,
Gaingels,http://www.gaingels.com,"Pre-Seed, Seed, Series A","Under-represented founders, Health, Fintech, AI, Consumer",$200K - $500K,"New York, New York",USA,No,https://www.vcsheet.com/fund/gaingels,"Harness, Enable, Qonto, Turing, Assembly (joinassembly.com)"
Andreessen Horowitz,http://www.a16z.com,"Seed, Series A, Series B+","AI, Defense, Biotech, Consumer, Web3 / Crypto",$500K - $100M,"Menlo Park, California","Asia-Pacific, USA",Yes,https://www.vcsheet.com/fund/andreessen-horowitz,"Medium, Dfinity, Sprinter Health, Filecoin, Instagram"
Versant Ventures,https://www.versantventures.com/,Series A,"Biotech, Health, Medtech",$100K - $5M,"Menlo Park, California","USA, Canada, Europe",No,https://www.vcsheet.com/fund/versant-ventures,
Canaan Partners,http://www.canaan.com,"Seed, Series A","Biotech, Enterprise, Consumer, Fintech, Deeptech / Hardware",$1M - $20M,"Menlo Park, California","USA, Africa, LatAm, India, Asia-Pacific, Europe, Canada, Israel, ANZ, MENA",Yes,https://www.vcsheet.com/fund/canaan-partners,Tyra
General Catalyst,http://www.generalcatalyst.com,"Seed, Series A, Series B+","Health, Fintech, Enterprise, AI, Consumer",$500K - $100M,"Cambridge, Massachusetts","LatAm, India, USA",Yes,https://www.vcsheet.com/fund/general-catalyst,"Kavak.com, Eightfold, Monzo Bank, The Information, Rapyd"
Atlas Venture,http://atlasventure.com/,"Seed, Series A","Biotech, Health",$500K  - $1M,"Cambridge, Massachusetts",USA,No,https://www.vcsheet.com/fund/atlas-venture,"DataRobot, AngelList, Hopper, Patreon, SecurityScorecard"
Lux Capital,https://www.luxcapital.com/,"Seed, Series A, Series B+","AI, Biotech, Defense, Deeptech / Hardware, Energy",$2M - $20M,"New York, New York",USA,Yes,https://www.vcsheet.com/fund/lux-capital,"Flutterwave, The Information, Mindset AI, Stord, Bright Machines"
Refactor Capital,https://refactor.com/,"Seed, Series A, Series B+","Biotech, Health, Climate, Deeptech / Hardware, Materials",$1M - $3M,"Burlingame, California",USA,No,https://www.vcsheet.com/fund/refactor-capital,Astranis
First Round Capital,http://www.firstround.com,"Seed, Series A","SaaS, Enterprise, AI, Health, Consumer, Data, Fintech",$750K - $4M,"San Francisco, California","USA, Canada",Yes,https://www.vcsheet.com/fund/first-round-capital,"Beautiful.ai, Cellular Longevity, Warby Parker, GOAT Group, Hot Potato"
5AM Ventures,http://www.5amventures.com/,"Seed, Series A","Biotech, Health, Medtech",$100K - $5M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/5am-ventures,
Founders Fund,http://www.foundersfund.com,"Seed, Series A, Series B+","AI, Biotech, Defense, Space, Fintech",$500K - $150M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/founders-fund,"Kavak.com, Cobalt, The Information, Stord, Workrise"
Third Rock Ventures,https://www.thirdrockventures.com/,"Seed, Series A","Biotech, Health, Medtech",$100K - $5M,"Boston, Massachusetts",USA,No,https://www.vcsheet.com/fund/third-rock-ventures,insitro
BoxGroup,http://www.boxgroup.com,"Pre-Seed, Seed, Series A","Fintech, Deeptech / Hardware, Devtools, AI, Consumer",$250K-$1M,"New York, New York",USA,No,https://www.vcsheet.com/fund/boxgroup,"Mindset AI, Stord, Workrise, K Health, Cellular Longevity"
Health Equity Ventures,http://www.healthequityventures.com/,"Pre-Seed, Seed, Series A","Health, Under-represented founders, Medtech, SaaS, Data",$50K - $250K,"Oakland, California",USA,No,https://www.vcsheet.com/fund/health-equity-ventures,
Healthy Ventures,https://www.healthy.vc/,"Seed, Series A","Health, AI, SaaS, Data, Insurtech",$500K - $2M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/healthy-ventures,Season Health
Wavemaker 360 Health,https://www.wavemaker360.com/,Seed,"Health, Medtech, AI, Biotech, Data",$500K - $1M,"Pasadena, California",USA,Yes,https://www.vcsheet.com/fund/wavemaker-360-health,
DCVC,http://www.dcvc.com,"Seed, Series A","Deeptech / Hardware, Biotech, Climate, Data, Health",$5M - $25M,"San Francisco, California","Africa, USA",No,https://www.vcsheet.com/fund/dcvc,"Flutterwave, Unlearn.AI, Embark Trucks (acquired by Applied Intuition), StarkWare, StrongDM"
KdT Ventures,https://www.kdtvc.com/,"Seed, Series A","Biotech, Health, AI, Materials, Food & Ag",$500K - $3M,"Austin, Texas",USA,No,https://www.vcsheet.com/fund/kdt-ventures,PathAI
8VC,http://www.8vc.com,"Pre-Seed, Seed, Series A, Series B+","Enterprise, Biotech, Health, Logistics, Defense",$500K - $50M,"Austin, Texas",USA,Yes,https://www.vcsheet.com/fund/8vc,"The Information, Unlearn.AI, Deliverr Inc., Wispr AI, Side"
Slow Ventures,https://slow-prod.herokuapp.com,"Pre-Seed, Seed, Series A","SaaS, Fintech, Health, Consumer, Web3 / Crypto",$50K - $1M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/slow-ventures,"VGS, ClassPass, Nextdoor, AngelList, Wealthfront"
Felicis Ventures,http://www.felicis.com,"Seed, Series A, Series B+","AI, Devtools, Data, Health, Deeptech / Hardware",$2M - $40M,"Menlo Park, California","USA, Canada, LatAm, Europe, Asia-Pacific, Israel, ANZ, Africa, India, MENA",Yes,https://www.vcsheet.com/fund/felicis-ventures,"Crunchbase, Elevate, Guild Education, Ginkgo Bioworks, Gusto"
SOSV,https://sosv.com/,"Pre-Seed, Seed, Series A, Series B+","Deeptech / Hardware, Food & Ag, Climate, Health, Biotech",$250K - $5M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/sosv,AngelList
Sandbox Industries,http://www.sandboxindustries.com,,"Health, Insurtech, Food & Ag, AI, Biotech",,,,No,https://www.vcsheet.com/fund/sandbox-industries,
ADQ,https://www.adq.ae/,,"Energy, Food & Ag, Health, Transportation, Logistics",,,,No,https://www.vcsheet.com/fund/adq,
