name,location,investment_focus,investor_type,stage_focus,portfolio_examples,source_link
Philip Chopin,United Kingdom England London,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Investor","Series B, Series A","Wandelbots, Siemplify, Workable, Payoneer, Simplee",https://investorhunt.co/investors/philip-chopin
Rob Taylor,United States Texas Austin,"Advertising, Health Care, Hospitals","Venture Capital, Private Equity Firm, Micro VC, Investor","Early Stage Venture, Series A","dataworld, ROIKOI, Notion, Drync, Cratejoy",https://investorhunt.co/investors/rob-taylor
Benoist Grossmann,France Île-de-France Paris,"Health Care, Talent Management, Wearables","Venture Capital, Private Equity Firm, Fund Of Funds",Seed,"Stockly, Botify, Dailymotion, Jabmo, Viadeo",https://investorhunt.co/investors/benoist-grossmann
Sateesh Andra,United States California Cupertino,"Health Care, Talent Management, Digital Therapeutics","Venture Capital, Private Equity Firm, Micro VC",Early Stage Venture,"alphaics Corporation, Darwinbox, Zluri, Cell Propulsion, Myelin Foundry",https://investorhunt.co/investors/sateesh-andra
Steve Gillan,United States California San Francisco,"Advertising, Health Care, Data Integration","Venture Capital, Private Equity Firm","Series B, Early Stage Venture, Series A","EarnUp, FundGuard, theator, Joshu, Segmed",https://investorhunt.co/investors/steve-gillan
Tohru Akaura,Japan Tokyo Tokyo,"Health Care, South East Asia-based Startups, Telecommunications","Venture Capital, Private Equity Firm","Pre-Seed, Early Stage Venture, Series A","Catallaxy, TERASS, AGRIST, CloudNatix, Parame",https://investorhunt.co/investors/tohru-akaura
Thomas Hawes,United States Texas Austin,"Health Care, Wearables, Genetics","Venture Capital, Accelerator, Private Equity Firm, Investor",Series B,"Full Harvest, Nuritas, Picwell, Lumiata, Culture Biosciences",https://investorhunt.co/investors/thomas-c-hawes-md-mba
Thilo Semmelbauer,United States New York New York City,"Advertising, Health Care, Data Integration","Venture Capital, Private Equity Firm, Investor",Series B,"Divvy, CRED, Calm, theator, SetSail",https://investorhunt.co/investors/thilo-semmelbauer
Scotland Stevens,United States New York New York City,"Health Care, Research and Development, Drug Discovery","Venture Capital, Private Equity Firm, Investor","Seed, Series A","Verona Pharma, GrayBug, Scribe Therapeutics, Chemomab, CoreMap",https://investorhunt.co/investors/scotland-stevens
Dror Nahumi,United States California Half Moon Bay,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture","Fireglass, SundaySky, CyberX, ScaleIO, SolarEdge",https://investorhunt.co/investors/dror-nahumi
Nancy Lee,United States California San Francisco,"Health Care, Talent Management, Wearables","Venture Capital, Private Equity Firm",Early Stage Venture,"HOVER, RunSafe Security, Aerospike, Ascent, Aurora Insight",https://investorhunt.co/investors/nancy-lee
Arif Janmohamed,United States California San Francisco,"Health Care, E-commerce, Customer Service","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investment Partner, Investor","Seed, Series B","TripActions, EdgeSpring, Xembly, Redpanda Data, Vectorized",https://investorhunt.co/investors/arif-janmohamed
Promod Haque,United States California Menlo Park,"Health Care, Online Education, Enterprise Software","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investor","Series B, Early Stage Venture","Yatra, CognitiveScale, NetObjects, NTT Global Networks, Appnomic",https://investorhunt.co/investors/promod-haque
Brian Dixon,United States California Oakland,"Health Care, Payments, Databases","Venture Capital, Private Equity Firm, Finance Operator, Investor","Seed, Pre-Seed","Ethic, SchoolMint, BioRelix, TomoCredit",https://investorhunt.co/investors/brian-dixon
Douglas Roth,United States Connecticut Hartford,"Health Care, Talent Management, Research and Development","Venture Capital, Government Office, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","LiveClips, NorthPage, eBrevia, Umbie Health, Logicbroker",https://investorhunt.co/investors/douglas-roth
Gautam Ahuja,United States New York New York City,"Health Care, Brand Development, High-growth Startups","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","The Game Agency, Cleancult, Credit Suisse",https://investorhunt.co/investors/gautam-ahuja
Niki Pezeshki,United States California Manhattan Beach,"Health Care, Talent Management, Consumer Research","Venture Capital, Founder, Private Equity Firm, Finance Operator, Investor","Early Stage Venture, Series A","KUDO, Farmwise, Modus, Proton.ai, MadKudu",https://investorhunt.co/investors/niki-pezeshki
