name,website,stage_focus,investment_focus,avg_check_size,location,geographies,can_lead,source_link,portfolio_examples,investor_type,data_source
ARCH Venture Partners,http://www.archventure.com,"Seed, Series A","Biotech, Health, AI, Deeptech / Hardware, Medtech",$500K - $5M,"Chicago, Illinois",USA,No,https://www.vcsheet.com/fund/arch-venture-partners,"insitro, Aera Therapeutics, Rippl",VC Firm,vcsheet
New Enterprise Associates (NEA),http://www.nea.com/,"Seed, Series A, Series B+","Enterprise, Biotech, Fintech, Health, Consumer",$50K - $50M,"Menlo Park, California",USA,Yes,https://www.vcsheet.com/fund/new-enterprise-associates-nea,"Divvy from BILL, VAST Data, Greenlight, DataRobot, Wispr AI",VC Firm,vcsheet
Alumni Ventures,http://www.av.vc,,"Generalist, AI, Deeptech / Hardware, Health, Web3 / Crypto",,United States,USA,No,https://www.vcsheet.com/fund/alumni-ventures,"Gatik, Enable, Unlearn.AI, Deliverr Inc., Turing",VC Firm,vcsheet
Khosla Ventures,http://www.khoslaventures.com,"Seed, Series A, Series B+","AI, Health, Climate, Enterprise, Biotech",$500K - $50M,"Menlo Park, California",USA,Yes,https://www.vcsheet.com/fund/khosla-ventures,"TriNet Zenefits, Cellular Longevity, Block, Kaggle, Loyal",VC Firm,vcsheet
Rock Health Capital,https://rockhealthcapital.com/,"Pre-Seed, Seed, Series A","Health, SaaS, Enterprise, AI, Data",$500K  - $3M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/rock-health-capital,,VC Firm,vcsheet
F-Prime Capital (fka Fidelity Biosciences),http://www.fprimecapital.com,"Seed, Series A, Series B+","Biotech, Medtech, Health, Web3 / Crypto, Fintech",$100K - $10M,"Cambridge, Massachusetts","USA, Europe, Asia-Pacific",Yes,https://www.vcsheet.com/fund/f-prime-capital-fka-fidelity-biosciences,SnapDocs,VC Firm,vcsheet
OrbiMed Advisors,https://www.orbimed.com/,Series A,"Biotech, Medtech, Health, AI",$1M - $75M,"New York, New York",USA,No,https://www.vcsheet.com/fund/orbimed-advisors,,VC Firm,vcsheet
Gaingels,http://www.gaingels.com,"Pre-Seed, Seed, Series A","Under-represented founders, Health, Fintech, AI, Consumer",$200K - $500K,"New York, New York",USA,No,https://www.vcsheet.com/fund/gaingels,"Harness, Enable, Qonto, Turing, Assembly (joinassembly.com)",VC Firm,vcsheet
Andreessen Horowitz,http://www.a16z.com,"Seed, Series A, Series B+","AI, Defense, Biotech, Consumer, Web3 / Crypto",$500K - $100M,"Menlo Park, California","Asia-Pacific, USA",Yes,https://www.vcsheet.com/fund/andreessen-horowitz,"Medium, Dfinity, Sprinter Health, Filecoin, Instagram",VC Firm,vcsheet
Versant Ventures,https://www.versantventures.com/,Series A,"Biotech, Health, Medtech",$100K - $5M,"Menlo Park, California","USA, Canada, Europe",No,https://www.vcsheet.com/fund/versant-ventures,,VC Firm,vcsheet
Canaan Partners,http://www.canaan.com,"Seed, Series A","Biotech, Enterprise, Consumer, Fintech, Deeptech / Hardware",$1M - $20M,"Menlo Park, California","USA, Africa, LatAm, India, Asia-Pacific, Europe, Canada, Israel, ANZ, MENA",Yes,https://www.vcsheet.com/fund/canaan-partners,Tyra,VC Firm,vcsheet
General Catalyst,http://www.generalcatalyst.com,"Seed, Series A, Series B+","Health, Fintech, Enterprise, AI, Consumer",$500K - $100M,"Cambridge, Massachusetts","LatAm, India, USA",Yes,https://www.vcsheet.com/fund/general-catalyst,"Kavak.com, Eightfold, Monzo Bank, The Information, Rapyd",VC Firm,vcsheet
Atlas Venture,http://atlasventure.com/,"Seed, Series A","Biotech, Health",$500K  - $1M,"Cambridge, Massachusetts",USA,No,https://www.vcsheet.com/fund/atlas-venture,"DataRobot, AngelList, Hopper, Patreon, SecurityScorecard",VC Firm,vcsheet
Lux Capital,https://www.luxcapital.com/,"Seed, Series A, Series B+","AI, Biotech, Defense, Deeptech / Hardware, Energy",$2M - $20M,"New York, New York",USA,Yes,https://www.vcsheet.com/fund/lux-capital,"Flutterwave, The Information, Mindset AI, Stord, Bright Machines",VC Firm,vcsheet
Refactor Capital,https://refactor.com/,"Seed, Series A, Series B+","Biotech, Health, Climate, Deeptech / Hardware, Materials",$1M - $3M,"Burlingame, California",USA,No,https://www.vcsheet.com/fund/refactor-capital,Astranis,VC Firm,vcsheet
